xxxx -> xxFN -> FLFN
Int | Counted/ |  Center  | Scen. A/D | Leg/Node | Turn Vol |
 #  | Modeled  |Node Check|  Balance  | Vol Check| Balancing|
-------------------------------------------------------------
231  |          |          |          |          |   551    |
232  |          |          |          |          |   551    |
236  |          |          |          |   454    |   551    |
237  |          |          |          |          |   551    |
238  |          |          |          |          |   551    |
240  |          |          |   350    |          |   551    |
241  |          |          |   350    |          |   551    |
242  |          |          |          |          |   551    |
243  |          |          |          |          |   551    |
244  |          |          |          |          |   551    |
245  |          |          |   350    |          |   551    |
246  |          |          |          |   453    |   551    |
247  |          |          |          |   454    |   551    |
248  |          |          |          |          |   551    |
249  |          |          |          |   454    |   551    |
250  |          |          |   350    |          |   551    |
251  |          |          |   350    |          |   551    |
252  |          |          |          |          |   551    |
253  |          |          |   350    |          |   551    |
254  |          |          |          |   454    |   551    |
255  |          |          |          |          |   551    |
256  |          |          |          |          |   551    |
257  |          |          |          |   454    |   551    |
258  |          |          |          |          |   551    |
260  |          |          |          |          |   551    |
261  |          |          |          |          |   551    |
263  |          |          |   350    |   454    |   551    |
266  |          |          |          |   454    |   551    |
268  |          |          |   350    |   454    |   551    |
269  |          |          |   350    |          |   551    |
270  |          |          |   350    |   454    |   551    |
272  |          |          |          |          |   551    |
273  |          |          |          |          |   551    |
274  |          |          |          |          |   551    |
276  |          |          |          |          |   551    |
277  |          |          |   350    |   454    |   551    |
278  |          |          |          |          |   551    |
279  |          |          |          |   454    |          |
280  |          |          |   350    |   454    |   551    |
281  |          |          |          |   454    |   551    |
282  |          |          |          |   454    |   551    |
284  |          |          |          |          |   551    |
285  |          |          |   350    |   454    |   551    |
286  |          |          |   350    |          |   551    |
287  |          |          |   350    |          |   551    |
289  |          |          |          |   454    |   551    |
290  |          |          |          |   453    |   551    |
291  |          |          |   350    |   454    |   551    |
293  |          |          |          |          |   551    |
294  |          |          |          |          |   551    |
295  |          |          |          |          |   551    |
296  |          |          |   350    |   454    |   551    |
297  |          |          |          |          |   551    |
298  |          |          |   350    |   453    |   551    |
299  |          |          |          |          |   551    |
