Int |   NORTHBOUND      SOUTHBOUND      EASTBOUND       WESTBOUND   
 #  |  LT   TH   RT    LT   TH   RT    LT   TH   RT    LT   TH   RT    
---------------------------------------------------------------------
108     15 1460   19    20 3033    4    17    1    9   181    1   32 
109      6   80    0     0  497    0     0    0    0     0    0    0 
110      1    0    1    11    0   11    38  336    4     2  378   29 
111     48  200    0     0  415  103   156    0  133     0    0    0 
112      3   12   18    33   40   10     9  155    7    20  183   15 
113    122  221    0     0  817   28    53    0   22     0    0    0 
114    254    1  559     0    0    0     0  627  185   325  774    1 
115      0    0    0   316    0   20     5   99    0     0  257  802 
116      0    0    0   311    0  199   439  728    0     0  909  676 
117    369    0  144     0    0    0     0  625  283   111  949    0 
118      0 1575   93   283  753    0     0    0    0    62    0  241 
119    366   36    0    22    0    0     1  414    4   142  353    7 
120    211  242    0     0  697   23    32    0  489     0    0    0 
121      0  926   45    33 1121    0     0    0    0    64    0   92 
122     93 1297    2     0 2921    3    11    0  511     0    0    3 
123      4  408  157   224  272    1     2    3    3   157    7  615 
124      1  619  104   332  775    2     0   19    0   304   29  447 
125      1    0  106     0    0    0     0 2147   27    56 1138    0 
126      0  611   12    21  936    0     0    0    0    11    0   23 
127      3  200   32    25  903    3     1    0    1   139    0   69 
128    166  671    9   152 1067  236   162  418  414    27  279  159 
129     36  353  139    21  416  336   172  229   60   205  299   44 
130      8  382  180   114  148    5    13   22    3   209   49  294 
131     15 1085  226   225 1747    9    62    9   21   416    6  256 
132      0  983  102    33 1704    0     0    0    0   131    0  109 
133     48  188   23   885  553  428   139  173  114    12   99  149 
134    975    0  163     0    0    0     0  780 1300   351  436    0 
135     53 1248    3    10 2111    4     5    1   32     6   12   13 
136     61 1709    0     5 1044   41    15    2   23     2    0    3 
137      0 1480    4    16  916   36     0    0   11     0    0   11 
138    112  422  142    77  398   99   553  489  111    45   99   20 
139    300  652    0     0 1175  271   641    0  284     0  228    0 
140     25    0   13    61    1   25    24  938   16     2  636   55 
141     15  291   61   150  794   13     6   11   41    24   28  233 
142     15  415   25    21  507   10     5    1   17    32    2   28 
143    108  491    0     0 1661  340   154    0  103     0    0    0 
144     52   20   33    16   16   12     9  116   50    65  209   13 
145      0    0    0   435    0   25     8  298    0     0  532  370 
146     11   14    4   284   25  713   142  176   22     6  121  111 
147      0    0    0    20    0   32    15  485    0     0  635   54 
148      0   58   48   123   28    0     0    0    0    25    0  150 
149     42 1443    0     0 1542  137     0    0   42     0    0    0 
150     12    2   29    17    3   42    11  747   22    56 1076   30 
151     12    3   52   189   32  217    33  291   16    16  352   52 
152      7    2  138   105   17   20     1 1121   25   372 1112  106 
153     30    1  285    78    1   36    11 1145   15    46  583    3 
154     34  532  236    55  398   77    59  786   92   201  713   79 
155      9    0   11   110    4   71     7 1473   10    13 1194   16 
156     68    1   60     0    0    0     0  796  113   109  632    0 
157      0    0    8   277    2  207    63 1183   16     1 1153  105 
158     34  184   39   393  360  207   167  824   63    96  479  102 
159     13  261  126   360  557  342   286 1581   63    44 1092   31 
160     35  754   18    14  388   11    16    1  204    35    0   17 
161      0  377  147    12  305    0     0    0    0   128    0   51 
162    125    0  238     0    0    0     1 1351   56   220 1587    0 
163      0    0    0    59    0   69    60  907    0     0  606   28 
164     81    0  121     6    0  420   171  657   43    90 1102    0 
165    613  945    2     0 1754  455   327   10  324     0    0    0 
166     31   41    0     0    8    5    54    0    8     0    0    0 
167      3    0    1     0    0    0     0  166   16    11  184    0 
168      3 1075    4     2 1515    2     5    0    8     2    1   16 
169      8  453    8    12  795   69    67    9   36     5    3    7 
170     59  514   45     2  765   88    49    0   95    72   28  150 
171      0    0    0   212    0  240   290  748    0     0  386  183 
172      4  215   21    66  581  165   189   54    9     2    5   13 
173     18  351   68    35  489   47    46  119   29   121   91   13 
174     96  370   80   156 1534  545   601  111  138   134   72   50 
175     21  129   46   140  379   27    11 1253   27   137 1495   50 
176      0    0    0   335    0  159     0 1530    0     0 1012  181 
177      0    0    0    27    0  723   447  434    1     1  329   22 
178      0    0    0   139    0  303   199 1441    0     0 1156   26 
